,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,"You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
0,1,1,1,1,1,2,0,00/00/0000,3,0,100,6,23:00,1,6
1,1,0,0,1,1,1,1,09/07/1992,1,0,60,7,03:00,6,6
2,0,1,1,2,1,1,2,04/08/1995,0,2,60,0,00:00,6,6
3,0,1,1,1,1,1,1,29/09/1993,2,0,42,1645,03:00,6,3
4,0,0,1,1,1,1,2,00/00/0000,2,0,60,66,20:00,6,2
5,1,1,1,1,1,1,4,31/12/1994,0,1,60,420,00:00,6,1
6,0,1,0,1,0,0,2,09/10/1995,0,0,100,739,22:00,3,1
7,0,1,1,1,1,1,3,22/07/1996,0,1,60,5,24:30,2,1
8,11,0,0,1,1,1,2,30/02/1945,0,0,60,31,03:30,7,6
9,1,1,1,1,0,1,2,00/00/0000,0,0,60,5,02:00,1,0
10,0,1,0,1,0,1,2,10/06/1991,276,0,20,3851,11:00,1,0
11,5,0,0,1,0,1,1,00/00/0000,3,0,25,6,03:00,1,3
12,1,1,1,1,0,1,3,18/03/1994,3,0,276,7,04:00,0,6
13,0,1,1,1,1,1,1,02/08/1996,1,0,100,16,23:30,2,6
14,0,1,1,1,1,1,1,00/00/0000,2,0,95,314152,00:00,1,3
15,0,1,0,1,0,1,2,00/00/1996,11,0,50,11,20:00,7,0
16,0,0,0,1,0,1,1,03/03/1994,6,0,30,5,05:00,5,3
17,2,1,1,1,1,1,1,17/05/1994,7,0,30,17,22:00,1,5
18,0,1,1,1,1,1,1,00/00/0000,3,1,50,7,24:00,1,3
19,2,1,0,1,1,0,2,27/12/1996,1,0,100,7,23:00,1,3
20,0,1,0,1,1,0,1,18/10/1996,2,0,100,2,21:00,6,3
21,1,0,1,1,0,0,0,21/08/1995,0,0,100,6,01:03,1,3
22,1,0,0,1,1,1,1,00/00/0000,4,0,60,888,18:00,6,6
23,1,1,1,1,1,0,1,09/08/1996,1,0,10,2,00:00,1,3
24,1,1,1,1,1,1,2,24/02/1994,1,0,20,251656723,23:00,1,0
25,0,1,0,1,0,1,2,00/00/0000,0,0,1,17572857155648217566617584166,01:00,6,3
26,1,1,0,1,1,0,0,01/01/1993,5,0,5,6,01:00,1,6
27,5,0,0,1,0,0,2,00/00/0000,1,0,25,9,23:30,1,6
28,0,1,1,1,1,0,0,1996/11/06,2,0,100,579659987878648768,22:30,3,6
29,2,1,0,1,0,1,3,00/00/0000,2,0,50,9,22:00,1,6
30,11,1,0,0,0,2,2,15/10/1990,4,0,60,8,23:00,2,6
31,11,1,1,1,1,1,1,03/11/1991,5,0,35,2,00:45,2,3
32,0,1,0,1,0,2,2,15/07/1995,1,0,10,654649897563232021568453120124653120,13:00,0,2
33,10,0,0,1,0,1,3,00/00/1988,10,0,60,9,12:00,5,2
34,10,1,1,1,1,1,1,25/05/1995,2,0,1,9,10:00,3,2
35,0,0,0,1,0,1,3,00/00/0000,6,0,5,5,02:00,3,2
36,3,1,0,1,0,0,3,12/12/1995,2,0,20,12,01:00,1,3
37,0,0,0,1,0,1,3,00/00/0000,276,0,100,7,01:00,3,0
38,2,1,1,1,1,0,1,00/00/0000,10,0,10,8,21:00,7,3
39,1,0,0,1,0,0,0,13/07/1995,1,0,60,5,20:00,1,2
40,11,0,1,1,1,0,1,00/00/0000,4,0,60,583,01:30,2,2
41,0,1,0,1,1,1,1,00/00/0000,5,0,276,7,01:00,2,6
42,0,1,1,1,1,1,2,23/02/1997,4,0,15,1,23:30,5,0
43,1,1,1,1,1,0,2,30/03/1995,8,0,60,46743222,21:00,1,5
44,5,0,0,1,0,1,3,09/03/1994,4,0,2,3,22:30,3,1
45,0,1,1,1,0,1,2,27/04/1994,4,0,100,6483920484627,03:00,6,6
46,0,1,0,1,0,1,2,11/05/1996,0,0,1,4,01:00,0,3
47,7,1,0,1,0,1,2,13/09/1995,6,0,85,314,23:00,0,1
48,5,0,0,0,0,1,2,23/01/1994,3,0,3,3,11:00,5,3
49,0,1,1,1,1,1,4,00/00/0000,24,0,276,777777777,10:00,3,2
50,1,1,1,1,1,1,2,01/04/0000,0,0,100,5587458772588865,00:00,1,3
51,1,1,1,1,1,1,2,19/12/1995,1,0,15,85,02:40,3,7
52,0,1,1,0,1,0,2,00/00/0000,7,0,90,7,01:00,4,6
53,1,1,0,1,1,0,1,12/12/1995,6,0,5,1212,12:30,2,5
54,0,0,0,1,0,1,3,23/08/1992,276,0,91,27,01:00,3,3
55,11,0,0,1,0,1,1,04/04/1996,0,2,2,483636354,20:30,3,3
56,2,0,0,1,0,1,1,22/07/1995,2,0,276,9,23:00,1,3
57,0,1,0,1,1,1,2,11/02/1996,2,0,100,69,23:30,1,3
58,0,1,0,1,1,1,3,26/05/1997,7,0,100,7,00:00,3,0
59,1,1,0,0,0,1,3,02/12/1992,1,0,4,6,23:30,6,2
60,0,1,1,1,1,1,1,00/00/0000,4,0,50,314159265359,04:25,7,6
61,1,1,1,1,1,1,3,00/00/0000,2,0,276,7,01:00,0,0
62,0,1,0,1,0,0,1,18/11/1995,2,0,10,8,23:00,7,2
63,2,2,0,1,0,0,0,27/06/1991,1,0,100,3,23:00,1,6
64,0,0,0,1,1,0,3,25/02/1993,5,0,20,7,23:30,6,0
65,1,1,1,1,1,1,1,30/01/1996,1,0,10,7,03:00,3,2
66,0,1,1,1,1,1,4,05/02/1986,0,0,50,1,23:30,0,6
67,1,1,1,1,1,1,2,03/10/1996,2,0,20,96,11:03,0,1
68,2,1,0,1,1,0,1,31/10/1996,8,0,80,2,22:30,1,3
69,11,1,0,1,1,1,2,10/05/1996,7,0,60,2,22:30,0,1
70,11,1,0,1,1,2,3,00/00/0000,5,0,1,8,03:00,3,7
71,0,1,0,0,1,1,1,18/07/1995,2,0,101,8,01:00,1,2
72,2,0,0,1,1,0,1,00/00/0000,2,0,80,7,00:00,1,2
73,2,1,1,1,1,1,2,15/02/1994,1,0,99,0,22:30,0,1
74,1,1,1,1,1,1,2,19/01/1996,5,0,60,341,23:00,5,0
75,5,1,0,1,1,0,0,08/02/1997,276,0,50,8,09:00,3,0
76,1,1,1,1,0,1,2,00/00/0000,5,0,80,3,23:34,1,0
